Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Prevotella buccae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Vascular Stiffness, Atherosclerosis, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms
Prevotella buccalis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Rothia aeria: Colorectal Neoplasms, Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Crohn Disease, Alzheimer Disease, Ulcerative Colitis, Lung Neoplasms, Esophageal Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Parkinson Disease, Mouth Neoplasms, Pharyngeal Neoplasms, Constipation, Uterine Cervical Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms, Inflammatory Bowel Diseases
Schaalia cardiffensis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Schlegelella aquatica: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Tannerella forsythia: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Stomach Neoplasms, Constipation, Pharyngeal Neoplasms, Mouth Neoplasms, Vascular Stiffness
Treponema socranskii: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Veillonella rogosae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Cronobacter: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Lung Neoplasms, Parkinson Disease, Alzheimer Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Stomach Neoplasms, Head and Neck Neoplasms, Irritable Bowel Syndrome, Constipation, Liver Neoplasms, Laryngeal Neoplasms, Tongue Neoplasms
Paraeggerthella: Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Liver Neoplasms, Stomach Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Uterine Cervical Neoplasms, Celiac Disease, Urinary Bladder Neoplasms, Parkinson Disease, Hypertension, Head and Neck Neoplasms, Coronary Artery Disease, Diarrhea
Saccharofermentans: Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Liver Neoplasms, Stomach Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Uterine Cervical Neoplasms, Celiac Disease, Urinary Bladder Neoplasms, Parkinson Disease, Hypertension, Head and Neck Neoplasms, Coronary Artery Disease, Diarrhea
Wallemia: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Diarrhea, Coronary Artery Disease, Pharyngeal Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Thyroid Neoplasms, Head and Neck Neoplasms, Mouth Neoplasms, Biliary Tract Neoplasms, Hypertension, Constipation
Antrodiella: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Diarrhea, Coronary Artery Disease, Vascular Stiffness, Pharyngeal Neoplasms, Squamous Intraepithelial Lesions, Biliary Tract Neoplasms, Thyroid Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Hypertension, Atherosclerosis
Boletus: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Diarrhea, Coronary Artery Disease, Pharyngeal Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Thyroid Neoplasms, Biliary Tract Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Hypertension, Constipation
Desulfobulbus: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Diarrhea, Coronary Artery Disease, Pharyngeal Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Thyroid Neoplasms, Biliary Tract Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Hypertension, Constipation
Guignardia: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Diarrhea, Coronary Artery Disease, Pharyngeal Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Thyroid Neoplasms, Biliary Tract Neoplasms, Head and Neck Neoplasms, Mouth Neoplasms, Hypertension, Constipation
Lysurus: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Diarrhea, Coronary Artery Disease, Pharyngeal Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Thyroid Neoplasms, Biliary Tract Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Hypertension, Constipation
Ophiocordyceps: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Diarrhea, Coronary Artery Disease, Pharyngeal Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Thyroid Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Biliary Tract Neoplasms, Hypertension, Constipation
Rothia dentocariosa: Gallbladder Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Uterine Cervical Neoplasms, Rectal Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Mouth Neoplasms, Prostatic Neoplasms, Pharyngeal Neoplasms, Breast Neoplasms, Head and Neck Neoplasms, Celiac Disease, Constipation, Diarrhea, Thyroid Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Esophageal Neoplasms
Sphingobacterium multivorum: Gallbladder Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Prostatic Neoplasms, Diarrhea, Coronary Artery Disease, Pharyngeal Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Thyroid Neoplasms, Biliary Tract Neoplasms, Head and Neck Neoplasms, Mouth Neoplasms, Hypertension, Constipation
Desulfococcus: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Ochrobactrum: Colorectal Neoplasms, Parkinson Disease, Crohn Disease, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Pancreatic Neoplasms, Breast Neoplasms, Irritable Bowel Syndrome, Mouth Neoplasms, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Hypertension, Coronary Artery Disease, Diarrhea, Constipation
Sulfurimonas: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Actinomyces sp. oral taxon 170: Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Uterine Cervical Neoplasms, Rectal Neoplasms, Head and Neck Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Gallbladder Neoplasms, Constipation, Prostatic Neoplasms, Celiac Disease, Esophageal Neoplasms, Diarrhea, Inflammatory Bowel Diseases, Stomach Neoplasms, Coronary Artery Disease, Mouth Neoplasms, Thyroid Neoplasms, Breast Neoplasms
Capnocytophaga leadbetteri: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Pharyngeal Neoplasms, Stomach Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms, Constipation, Tongue Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Rectal Neoplasms, Alzheimer Disease, Lung Neoplasms, Irritable Bowel Syndrome, Esophageal Neoplasms, Ovarian Neoplasms, Thyroid Neoplasms
Corynebacteriales: Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms, Constipation, Celiac Disease, Tongue Neoplasms, Colorectal Neoplasms, Lung Neoplasms, Rectal Neoplasms, Alzheimer Disease, Ulcerative Colitis, Stomach Neoplasms, Crohn Disease, Parkinson Disease, Thyroid Neoplasms
Neisseria sicca: Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Colorectal Neoplasms, Head and Neck Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms, Ulcerative Colitis, Crohn Disease
Oscillospiraceae: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Pharyngeal Neoplasms, Alzheimer Disease, Liver Neoplasms, Lung Neoplasms, Laryngeal Neoplasms, Pancreatic Neoplasms, Constipation, Head and Neck Neoplasms, Coronary Artery Disease, Atherosclerosis, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Prostatic Neoplasms
Lactobacillus rhamnosus: Uterine Cervical Neoplasms, Laryngeal Neoplasms, Tongue Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Celiac Disease, Rectal Neoplasms, Ovarian Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Esophageal Neoplasms, Breast Neoplasms, Prostatic Neoplasms, Pancreatic Neoplasms, Inflammatory Bowel Diseases, Thyroid Neoplasms, Gallbladder Neoplasms, Liver Neoplasms
Leptotrichia trevisanii: Uterine Cervical Neoplasms, Laryngeal Neoplasms, Tongue Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Celiac Disease, Rectal Neoplasms, Ovarian Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Esophageal Neoplasms, Breast Neoplasms, Prostatic Neoplasms, Pancreatic Neoplasms, Inflammatory Bowel Diseases, Thyroid Neoplasms, Gallbladder Neoplasms, Liver Neoplasms
Allisonella: Parkinson Disease, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Constipation, Head and Neck Neoplasms, Diarrhea
Erysipelatoclostridium: Ulcerative Colitis, Crohn Disease, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Pharyngeal Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Parkinson Disease, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Exiguobacterium: Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Prostatic Neoplasms, Esophageal Neoplasms, Ovarian Neoplasms, Inflammatory Bowel Diseases, Celiac Disease, Uterine Cervical Neoplasms, Tongue Neoplasms, Diarrhea, Urinary Bladder Neoplasms, Rectal Neoplasms, Stomach Neoplasms, Thyroid Neoplasms, Gastroenteritis, Coronary Artery Disease, Amyotrophic Lateral Sclerosis, Hypertension
Gelria: Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Prostatic Neoplasms, Esophageal Neoplasms, Ovarian Neoplasms, Inflammatory Bowel Diseases, Celiac Disease, Uterine Cervical Neoplasms, Tongue Neoplasms, Diarrhea, Urinary Bladder Neoplasms, Rectal Neoplasms, Stomach Neoplasms, Thyroid Neoplasms, Gastroenteritis, Amyotrophic Lateral Sclerosis, Coronary Artery Disease, Hypertension
Holdemanella: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Coronary Artery Disease, Hypertension, Diarrhea
Terrisporobacter: Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Prostatic Neoplasms, Esophageal Neoplasms, Ovarian Neoplasms, Inflammatory Bowel Diseases, Celiac Disease, Uterine Cervical Neoplasms, Tongue Neoplasms, Diarrhea, Urinary Bladder Neoplasms, Rectal Neoplasms, Stomach Neoplasms, Thyroid Neoplasms, Gastroenteritis, Coronary Artery Disease, Amyotrophic Lateral Sclerosis, Hypertension
Cloacibacterium: Parkinson Disease, Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Uterine Cervical Neoplasms, Diarrhea, Pharyngeal Neoplasms, Coronary Artery Disease, Liver Neoplasms, Atherosclerosis, Urinary Bladder Neoplasms, Hypertension, Ovarian Neoplasms, Stomach Neoplasms
Agaricales: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Pharyngeal Neoplasms, Alzheimer Disease, Liver Neoplasms, Lung Neoplasms, Laryngeal Neoplasms, Pancreatic Neoplasms, Constipation, Head and Neck Neoplasms, Coronary Artery Disease, Atherosclerosis, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Prostatic Neoplasms
Nitrososphaera: Parkinson Disease, Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Diarrhea, Irritable Bowel Syndrome, Atherosclerosis, Coronary Artery Disease, Ovarian Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Peripheral Arterial Disease, Hypertension, Thrombosis, Prostatic Neoplasms, Acute Lymphoblastic Leukemia, Amyotrophic Lateral Sclerosis, Gallbladder Neoplasms, Endometrial Neoplasms
Nitrososphaeraceae: Parkinson Disease, Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Diarrhea, Irritable Bowel Syndrome, Atherosclerosis, Coronary Artery Disease, Ovarian Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Peripheral Arterial Disease, Hypertension, Thrombosis, Prostatic Neoplasms, Acute Lymphoblastic Leukemia, Amyotrophic Lateral Sclerosis, Gallbladder Neoplasms, Endometrial Neoplasms
Nitrososphaerales: Parkinson Disease, Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Diarrhea, Irritable Bowel Syndrome, Atherosclerosis, Coronary Artery Disease, Ovarian Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Peripheral Arterial Disease, Hypertension, Thrombosis, Prostatic Neoplasms, Acute Lymphoblastic Leukemia, Amyotrophic Lateral Sclerosis, Gallbladder Neoplasms, Endometrial Neoplasms
Thaumarchaeota: Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Crohn Disease, Pancreatic Neoplasms, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Head and Neck Neoplasms, Constipation, Coronary Artery Disease, Hypertension
Lupinus: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Coronary Artery Disease, Diarrhea, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Atherosclerosis, Hypertension, Liver Neoplasms, Urinary Bladder Neoplasms, Coronary Heart Disease, Stomach Neoplasms
Mitsuokella: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Irritable Bowel Syndrome, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Liver Neoplasms, Diarrhea, Coronary Artery Disease, Atherosclerosis, Hypertension, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Celiac Disease, Coronary Heart Disease
Sarcina: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Coronary Artery Disease, Hypertension, Diarrhea, Atherosclerosis
Euryarchaeota: Parkinson Disease, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Stomach Neoplasms, Lung Neoplasms, Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Diarrhea
Methanobacteria: Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Alzheimer Disease, Breast Neoplasms, Mouth Neoplasms, Lung Neoplasms, Urinary Bladder Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Esophageal Neoplasms, Ulcerative Colitis, Tongue Neoplasms, Rectal Neoplasms
Methanobacteriaceae: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Coronary Artery Disease, Diarrhea, Hypertension
